Algorithm,Category,Network_Nodes_N,Gas_Price_Gwei,Unagg_Total_Gas,Agg_Total_Gas,Gas_Savings_Pct,Unagg_Tx_USD,Agg_Tx_USD,Annual_Agg_Cost_USD
ML-DSA-44,PQ - Lattice,51,100,14171300,574343,95.95,4251.39,172.3029,90562404.24
ML-DSA-65,PQ - Lattice,5,10,1982592,563215,71.59,59.4778,16.8964,8880774.12
ML-DSA-65,PQ - Lattice,5,30,1982592,563215,71.59,178.4333,50.6894,26642322.36
ML-DSA-65,PQ - Lattice,5,50,1982592,563215,71.59,297.3888,84.4822,44403870.6
ML-DSA-65,PQ - Lattice,5,100,1982592,563215,71.59,594.7776,168.9645,88807741.2
ML-DSA-65,PQ - Lattice,11,10,4328712,634365,85.35,129.8614,19.031,10002667.32
ML-DSA-65,PQ - Lattice,11,30,4328712,634365,85.35,389.5841,57.0929,30008001.96
ML-DSA-65,PQ - Lattice,11,50,4328712,634365,85.35,649.3068,95.1548,50013336.6
ML-DSA-65,PQ - Lattice,11,100,4328712,634365,85.35,1298.6136,190.3095,100026673.2
ML-DSA-65,PQ - Lattice,21,10,8238920,693015,91.59,247.1676,20.7904,10927460.52
ML-DSA-65,PQ - Lattice,21,30,8238920,693015,91.59,741.5028,62.3713,32782381.56
ML-DSA-65,PQ - Lattice,21,50,8238920,693015,91.59,1235.838,103.9523,54637302.6
ML-DSA-65,PQ - Lattice,21,100,8238920,693015,91.59,2471.676,207.9045,109274605.2
ML-DSA-65,PQ - Lattice,31,10,12149116,728591,94.0,364.4735,21.8577,11488422.89
ML-DSA-65,PQ - Lattice,31,30,12149116,728591,94.0,1093.4204,65.5732,34465268.66
ML-DSA-65,PQ - Lattice,31,50,12149116,728591,94.0,1822.3674,109.2886,57442114.44
ML-DSA-65,PQ - Lattice,31,100,12149116,728591,94.0,3644.7348,218.5773,114884228.88
ML-DSA-65,PQ - Lattice,51,10,19969520,774505,96.12,599.0856,23.2352,12212394.84
ML-DSA-65,PQ - Lattice,51,30,19969520,774505,96.12,1797.2568,69.7054,36637184.52
ML-DSA-65,PQ - Lattice,51,50,19969520,774505,96.12,2995.428,116.1758,61061974.2
ML-DSA-65,PQ - Lattice,51,100,19969520,774505,96.12,5990.856,232.3515,122123948.4
ML-DSA-87,PQ - Lattice,5,10,2634084,740530,71.89,79.0225,22.2159,11676677.04
ML-DSA-87,PQ - Lattice,5,30,2634084,740530,71.89,237.0676,66.6477,35030031.12
ML-DSA-87,PQ - Lattice,5,50,2634084,740530,71.89,395.1126,111.0795,58383385.2
ML-DSA-87,PQ - Lattice,5,100,2634084,740530,71.89,790.2252,222.159,116766770.4
ML-DSA-87,PQ - Lattice,11,10,5761980,834694,85.51,172.8594,25.0408,13161454.99
ML-DSA-87,PQ - Lattice,11,30,5761980,834694,85.51,518.5782,75.1225,39484364.98
ML-DSA-87,PQ - Lattice,11,50,5761980,834694,85.51,864.297,125.2041,65807274.96
ML-DSA-87,PQ - Lattice,11,100,5761980,834694,85.51,1728.594,250.4082,131614549.92
ML-DSA-87,PQ - Lattice,21,10,10975160,912241,91.69,329.2548,27.3672,14384216.09
ML-DSA-87,PQ - Lattice,21,30,10975160,912241,91.69,987.7644,82.1017,43152648.26
ML-DSA-87,PQ - Lattice,21,50,10975160,912241,91.69,1646.274,136.8362,71921080.44
ML-DSA-87,PQ - Lattice,21,100,10975160,912241,91.69,3292.548,273.6723,143842160.88
ML-DSA-87,PQ - Lattice,31,10,16188328,959187,94.07,485.6498,28.7756,15124460.62
ML-DSA-87,PQ - Lattice,31,30,16188328,959187,94.07,1456.9495,86.3268,45373381.85
ML-DSA-87,PQ - Lattice,31,50,16188328,959187,94.07,2428.2492,143.8781,75622303.08
ML-DSA-87,PQ - Lattice,31,100,16188328,959187,94.07,4856.4984,287.7561,151244606.16
ML-DSA-87,PQ - Lattice,51,10,26614676,1019658,96.17,798.4403,30.5897,16077967.34
ML-DSA-87,PQ - Lattice,51,30,26614676,1019658,96.17,2395.3208,91.7692,48233902.03
ML-DSA-87,PQ - Lattice,51,50,26614676,1019658,96.17,3992.2014,152.9487,80389836.72
ML-DSA-87,PQ - Lattice,51,100,26614676,1019658,96.17,7984.4028,305.8974,160779673.44
Falcon-512,PQ - Lattice,5,10,978080,304835,68.83,29.3424,9.145,4806638.28
Falcon-512,PQ - Lattice,5,30,978080,304835,68.83,88.0272,27.4352,14419914.84
Falcon-512,PQ - Lattice,5,50,978080,304835,68.83,146.712,45.7253,24033191.4
Falcon-512,PQ - Lattice,5,100,978080,304835,68.83,293.424,91.4505,48066382.8
Falcon-512,PQ - Lattice,11,10,2118788,347824,83.58,63.5636,10.4347,5484488.83
Falcon-512,PQ - Lattice,11,30,2118788,347824,83.58,190.6909,31.3042,16453466.5
Falcon-512,PQ - Lattice,11,50,2118788,347824,83.58,317.8182,52.1736,27422444.16
Falcon-512,PQ - Lattice,11,100,2118788,347824,83.58,635.6364,104.3472,54844888.32
Falcon-512,PQ - Lattice,21,10,4019972,383391,90.46,120.5992,11.5017,6045309.29
Falcon-512,PQ - Lattice,21,30,4019972,383391,90.46,361.7975,34.5052,18135927.86
Falcon-512,PQ - Lattice,21,50,4019972,383391,90.46,602.9958,57.5087,30226546.44
Falcon-512,PQ - Lattice,21,100,4019972,383391,90.46,1205.9916,115.0173,60453092.88
Falcon-512,PQ - Lattice,31,10,5921144,405052,93.16,177.6343,12.1516,6386859.94
Falcon-512,PQ - Lattice,31,30,5921144,405052,93.16,532.903,36.4547,19160579.81
Falcon-512,PQ - Lattice,31,50,5921144,405052,93.16,888.1716,60.7578,31934299.68
Falcon-512,PQ - Lattice,31,100,5921144,405052,93.16,1776.3432,121.5156,63868599.36
Falcon-512,PQ - Lattice,51,10,9723500,433190,95.54,291.705,12.9957,6830539.92
Falcon-512,PQ - Lattice,51,30,9723500,433190,95.54,875.115,38.9871,20491619.76
Falcon-512,PQ - Lattice,51,50,9723500,433190,95.54,1458.525,64.9785,34152699.6
Falcon-512,PQ - Lattice,51,100,9723500,433190,95.54,2917.05,129.957,68305399.2
Falcon-1024,PQ - Lattice,5,10,1725592,501922,70.91,51.7678,15.0577,7914306.1
Falcon-1024,PQ - Lattice,5,30,1725592,501922,70.91,155.3033,45.173,23742918.29
Falcon-1024,PQ - Lattice,5,50,1725592,501922,70.91,258.8388,75.2883,39571530.48
Falcon-1024,PQ - Lattice,5,100,1725592,501922,70.91,517.6776,150.5766,79143060.96
Falcon-1024,PQ - Lattice,11,10,3763312,568228,84.9,112.8994,17.0468,8959819.1
Falcon-1024,PQ - Lattice,11,30,3763312,568228,84.9,338.6981,51.1405,26879457.31
Falcon-1024,PQ - Lattice,11,50,3763312,568228,84.9,564.4968,85.2342,44799095.52
Falcon-1024,PQ - Lattice,11,100,3763312,568228,84.9,1128.9936,170.4684,89598191.04
Falcon-1024,PQ - Lattice,21,10,7159508,622909,91.3,214.7852,18.6873,9822029.11
Falcon-1024,PQ - Lattice,21,30,7159508,622909,91.3,644.3557,56.0618,29466087.34
Falcon-1024,PQ - Lattice,21,50,7159508,622909,91.3,1073.9262,93.4364,49110145.56
Falcon-1024,PQ - Lattice,21,100,7159508,622909,91.3,2147.8524,186.8727,98220291.12
Falcon-1024,PQ - Lattice,31,10,10555704,656084,93.78,316.6711,19.6825,10345132.51
Falcon-1024,PQ - Lattice,31,30,10555704,656084,93.78,950.0134,59.0476,31035397.54
Falcon-1024,PQ - Lattice,31,50,10555704,656084,93.78,1583.3556,98.4126,51725662.56
Falcon-1024,PQ - Lattice,31,100,10555704,656084,93.78,3166.7112,196.8252,103451325.12
Falcon-1024,PQ - Lattice,51,10,17348096,698943,95.97,520.4429,20.9683,11020933.22
Falcon-1024,PQ - Lattice,51,30,17348096,698943,95.97,1561.3286,62.9049,33062799.67
Falcon-1024,PQ - Lattice,51,50,17348096,698943,95.97,2602.2144,104.8415,55104666.12
Falcon-1024,PQ - Lattice,51,100,17348096,698943,95.97,5204.4288,209.6829,110209332.24
SLH-DSA-SHA2-128s,PQ - Hash-based,5,10,4882720,1286563,73.65,146.4816,38.5969,20286525.38
SLH-DSA-SHA2-128s,PQ - Hash-based,5,30,4882720,1286563,73.65,439.4448,115.7907,60859576.15
SLH-DSA-SHA2-128s,PQ - Hash-based,5,50,4882720,1286563,73.65,732.408,192.9845,101432626.92
SLH-DSA-SHA2-128s,PQ - Hash-based,5,100,4882720,1286563,73.65,1464.816,385.9689,202865253.84
SLH-DSA-SHA2-128s,PQ - Hash-based,11,10,10708984,1427911,86.67,321.2695,42.8373,22515300.65
SLH-DSA-SHA2-128s,PQ - Hash-based,11,30,10708984,1427911,86.67,963.8086,128.512,67545901.94
SLH-DSA-SHA2-128s,PQ - Hash-based,11,50,10708984,1427911,86.67,1606.3476,214.1867,112576503.24
SLH-DSA-SHA2-128s,PQ - Hash-based,11,100,10708984,1427911,86.67,3212.6952,428.3733,225153006.48
SLH-DSA-SHA2-128s,PQ - Hash-based,21,10,20419424,1544154,92.44,612.5827,46.3246,24348220.27
SLH-DSA-SHA2-128s,PQ - Hash-based,21,30,20419424,1544154,92.44,1837.7482,138.9739,73044660.82
SLH-DSA-SHA2-128s,PQ - Hash-based,21,50,20419424,1544154,92.44,3062.9136,231.6231,121741101.36
SLH-DSA-SHA2-128s,PQ - Hash-based,21,100,20419424,1544154,92.44,6125.8272,463.2462,243482202.72
SLH-DSA-SHA2-128s,PQ - Hash-based,31,10,30129864,1614415,94.64,903.8959,48.4324,25456095.72
SLH-DSA-SHA2-128s,PQ - Hash-based,31,30,30129864,1614415,94.64,2711.6878,145.2973,76368287.16
SLH-DSA-SHA2-128s,PQ - Hash-based,31,50,30129864,1614415,94.64,4519.4796,242.1622,127280478.6
SLH-DSA-SHA2-128s,PQ - Hash-based,31,100,30129864,1614415,94.64,9038.9592,484.3245,254560957.2
SLH-DSA-SHA2-128s,PQ - Hash-based,51,10,49550744,1704671,96.56,1486.5223,51.1401,26879252.33
SLH-DSA-SHA2-128s,PQ - Hash-based,51,30,49550744,1704671,96.56,4459.567,153.4204,80637756.98
SLH-DSA-SHA2-128s,PQ - Hash-based,51,50,49550744,1704671,96.56,7432.6116,255.7007,134396261.64
SLH-DSA-SHA2-128s,PQ - Hash-based,51,100,49550744,1704671,96.56,14865.2232,511.4013,268792523.28
